recording_mbid,total_listen_count,total_user_count
fe6a5106-c93c-4697-a677-14df1bc1a7b5,126712.0,18353.0
27e441a6-8497-44a1-a60a-e5a307afb41b,176.0,70.0
5186ff5c-e0d6-4c03-a87f-fe94792f4168,69673.0,10705.0
418e063e-e338-4360-8d9e-27437e11b022,6540.0,1352.0
9525ed72-4ce8-420a-95c2-9caad39a2418,1812.0,597.0
5a0b8f8c-a411-4ff9-ae10-eeec2982cb03,514.0,100.0
ce40a410-4e2b-4204-b071-9e2d5b76b52b,3249.0,512.0
112c4598-2553-465f-a515-ee72d3c65927,791.0,153.0
5fc9e156-90fc-42e8-b823-6d5c610414ea,11.0,6.0
0af46339-acf5-43a9-a9b7-2a050cfa0d1e,2090.0,406.0
4f4113fc-79df-472e-bbc0-d4aa9ecc61ed,246.0,41.0
055ebf17-9c50-425b-86cf-13c815691ec2,1066.0,143.0
e27941ad-7c1e-41d8-b582-cc8acfe7fe68,17810.0,2567.0
03fb562c-5619-46b0-a233-44a80955da85,3500.0,909.0
199651ed-0879-4d27-af6c-848637309c34,19612.0,3465.0
c89afc85-ca05-49aa-9463-ad08a96e0eeb,11875.0,2714.0
ac837e5b-b553-4914-a5c5-e7ad16302ffc,,
1acace10-134c-4c91-a87a-cb8314d50efd,738353.0,99241.0
fa0749e3-c106-480e-8d3f-592ce6a74c9c,388.0,104.0
10b12b5e-98c4-443c-b0bf-f0ada4e443d7,687.0,216.0
99e177cc-009f-43e7-a470-d5b92eeb0d83,325.0,66.0
2e337ed4-6628-48d6-9139-bf90275bb138,530.0,146.0
38092d17-5663-4cdb-9db0-12fee52ba507,659.0,149.0
3042f268-c79c-4537-b496-0a7af12a00fe,1561.0,297.0
97d0a060-c95e-4f5e-a1ce-33f8da96614f,,
585aa294-b3ff-48b3-b6e0-5fecf2950b84,99.0,42.0
48e0895c-6dfd-432d-b93e-5f05932cc6cc,97.0,51.0
fa748d01-56aa-491c-a218-5dbb58ea9530,63.0,17.0
62d17621-14c6-4103-bd60-795c2be1227d,78081.0,10624.0
07e12257-74af-4302-9fee-112f3961a1ac,384.0,78.0
b61496ee-5b7b-4fa1-bb84-4f3fd9b4fdc4,771.0,94.0
bc625713-33d9-4d41-ba9f-0eee65bce984,235.0,67.0
4dd7fe04-59fc-497e-8faf-928939c581a9,1344.0,311.0
99abf4ab-5599-4abb-aa4d-274a07e971c8,138.0,55.0
6a49c904-17d3-472c-9fc1-e18755cf1d6d,456.0,189.0
5a8ad663-73c7-4ad2-a8ba-a025ed9069e6,49532.0,7911.0
8320da78-eaac-4eb7-9111-1a9cd68a0f69,409.0,109.0
ef817eb2-a54c-4bc0-9573-59d68cc1e095,68.0,21.0
9e102bc9-3e1c-4123-8bfd-4263056da15e,147227.0,16697.0
eb66d3b4-d7bf-49f6-b60c-7def5b4edb64,4503.0,962.0
5eb5549c-af01-4c79-935f-a28093d44269,1432.0,326.0
4e5c73ea-b15e-4e78-b54c-602047c18644,200917.0,33933.0
fca30608-ba76-4f98-806f-e0e32e0a880b,5.0,3.0
7bb39f04-2037-4ced-899f-092c48678962,1082.0,301.0
8ee87cbc-d9ee-4180-8935-6f9e26a37563,1269.0,236.0
00ebc1bf-139a-405b-af59-69ee0c1968cc,1124.0,182.0
ddf4f124-85aa-4b07-b330-0ec3867fcc05,10128.0,2647.0
75a1066e-649f-42f9-9dfe-5fef691fe33c,784.0,103.0
e28d7cf6-8032-4b85-981b-52805e5e3e58,269.0,64.0
f91d5302-a496-4eeb-9522-6bbd4cf1507b,685.0,187.0
3e93ea63-1fcc-4c88-8c20-234435ec6bfa,243.0,111.0
385a932e-7514-43d8-af7b-c8473c7b369b,216027.0,16357.0
