artist_mbid,total_listen_count,total_user_count
bc710bcf-8815-42cf-bad2-3f1d12246aeb,20299672,235563
6fe07aa5-fec0-4eca-a456-f29bff451b04,25617624,314835
7527f6c2-d762-4b88-b5e2-9244f1e34c46,27394965,213343
601f8530-9009-4f73-94fb-a355b4497b70,1218169,32463
23a03e33-a603-404e-bcbf-2c00159d7067,32488057,300882
5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,1026572,28112
a74b1b7f-71a5-4011-9441-d0b5e4122711,133749383,455551
2fa0d3ac-b64c-401a-b0a1-4915ba6cc157,7262940,167291
11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,35993706,357211
1339fab0-3ad8-4b8e-afac-7b7ae34509c7,4569976,52376
ea4dfa26-f633-4da6-a52a-f49ea4897b58,26490141,325464
5838185a-0ee6-4a0b-8d4e-76a6e15f7d4b,1539928,16589
16a43d5e-c52d-4eaa-9c3b-00b2c1d8e816,9175796,91016
ba0d6274-db14-4ef5-b28d-657ebde1a396,36069013,322706
598469a8-3bd6-4f8a-a5bc-a2e15e128eae,52887,1914
ac865b2e-bba8-4f5a-8756-dd40d5e39f46,31594981,245504
8560d4e8-05e2-4c20-980b-ad2db445dd5d,1030044,54196
2ec86dfd-f3f5-4110-952b-788a27dff787,155616,5122
a0327dc2-dc76-44d5-aec6-47cd2dff1469,8300308,200945
5a092e7c-faa9-45d0-88c6-052205804e6c,1680499,19980
2386cd66-e923-4e8e-bf14-2eebe2e9b973,14674958,212217
a9044915-8be3-4c7e-b11f-9e2d2ea0a91e,26339633,158021
4753fcb7-9270-493a-974d-8daca4e49125,8778297,73560
d15721d8-56b4-453d-b506-fc915b14cba2,34815652,302097
7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,34951663,291787
5b0d71ae-eb06-4be1-adbe-89d8fb73a574,196449,7911
a29ae051-283b-4703-be3d-2accfa3a75a2,1674136,15618
298f4089-1948-44b5-b5e8-d5381f42362f,252565,12254
584c04d2-4acc-491b-8a0a-e63133f4bfc4,25699686,308991
f8a9a911-47de-49fe-ba96-7e5b5f08b7d0,504898,6436
5dfdca28-9ddc-4853-933c-8bc97d87beec,31296378,256885
ba853904-ae25-4ebb-89d6-c44cfbd71bd2,23812574,321028
e6e1e76f-afee-4990-aad0-056199d94918,1618089,17523
d8e41375-bd8d-4e39-9da7-f0c171e97086,2295877,103689
16243662-8538-4746-a0fb-0d15b5828b8e,2199938,102338
d2e3d4dc-78f4-4faa-ae45-612f479a2d91,18458,1271
f181961b-20f7-459e-89de-920ef03c7ed0,43685383,335285
4b1a830b-0a1f-42e5-b8d5-1d6743912e99,6365576,137020
16a99fc7-e323-4d04-81ab-46b09a0cb4eb,381843,9548
e1c340e5-af64-47ab-a07f-188ad1eb6929,4485,503
29b550f2-04a3-4733-b6f5-4e347fac7e11,2738854,20561
7fe96b15-5608-430e-ad25-77a01353c5d9,2540332,98203
fbd2a255-1d57-4d31-ac11-65b671c19958,10078535,241621
541f16f5-ad7a-428e-af89-9fa1b16d3c9c,16401038,165322
bbc5b66b-d037-4f26-aecf-0b129e7f876a,18889695,229734
153c9281-268f-4cf3-8938-f5a4593e5df4,12111689,214551
8c32bb01-58a3-453b-8050-8c0620edb0e5,7686513,159428
171dc941-4ce6-430f-9932-5c64c6192b2a,50475,3758
482a5456-7d8a-4366-a2e9-6f38853df632,7310311,63579
db882a54-72cd-4e7e-b574-be879e876de8,37451,3111
8072a05b-125d-424d-baa3-6b512ae7f1f8,4935,521
487daeb5-ba48-4e2c-9f01-173c9deefa4b,552179,21149
944e1036-8a03-4611-8aa0-31515a05c848,2654027,133402
ac2d1c91-3667-46aa-9fe7-170ca7fce9e2,9451056,121864
4f4366cc-f0e0-4106-a56a-f52f055e49cb,644822,10744
c995a379-60b9-404b-bd97-a7e2de0751d3,6940327,143230
d4d17620-fd97-4574-92a8-a2cb7e72ce42,8042029,223516
b6b2bb8d-54a9-491f-9607-7b546023b433,28582214,293074
c48d4327-8122-4286-af66-05e1ee6ac4d8,4139462,130635
21990d7d-8b9e-44f3-b9fb-26ebdfd7f042,54975,2455
d530dbf9-69b1-404f-98f2-0431104f5a1e,20804611,158723
b50b36b5-aec1-401f-a722-e5ab673af14d,920616,16073
a1d044b9-76c9-46d7-a5a6-0f52421e1ed7,345956,8119
aa62b28e-b6d4-4086-91d4-e5fac1ed56f3,448387,10147
2fae3969-96cb-4dea-91c8-9108848de808,169294,7994
63c5d2a6-bc32-4991-bf3a-9efe3a1d741b,376713,10015
54bd120a-6bac-4d7c-8b10-ba167bc7e26c,698611,12515
4f8916d6-a7d2-43e9-96b6-ce3168c39c84,1240119,34132
fb4fc5a6-cbe1-45ff-954c-ef45faceb54d,6758813,66025
60f7b450-59dc-4be7-8b88-383fb4f66322,74143,4422
c5eb9407-caeb-4303-b383-6929aa94021c,18870834,205548
169c4c28-858e-497b-81a4-8bc15e0026ea,24905456,130989
3798b104-01cb-484c-a3b0-56adc6399b80,24223374,303946
67f66c07-6e61-4026-ade5-7e782fad3a5d,53765197,380304
920c7a88-f8f3-482f-96ef-810c6442fc3e,38623,3377
caf28186-af18-4b48-aadb-22ce1218b0ca,8133,751
ee0c82bb-85ca-4a3c-94b8-d7221e74333f,85610,5616
04591295-6d94-45cb-b6c7-1ae17c6f380e,9666118,150822
777a21a8-0d0f-4cf3-86b4-65bc0eba5649,7457726,133272
92a42e82-b36f-4308-82c1-68bad2e03c89,5610693,120468
34e43e84-c3ed-4d2a-a7af-d84b269b3a54,4622,416
e6abe447-5f3c-4133-81b6-1cd4f0ba09dc,1162063,16805
93ccd76c-3790-4435-a8bf-02bc26294b93,5551997,142444
9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,27449419,275505
8484e4ab-b6b5-4326-b837-72eb72c9e8a4,845759,23046
dd999ced-1dd4-44b8-ab67-ee5ec23e52b7,678664,10210
00034ede-a1f1-4219-be39-02f36853373e,1113868,15764
8b98035f-fbd2-4fb3-9c2f-263c7506680d,148248,6664
3fba72d5-64d8-4796-8691-8cdfc85db37d,40008,2286
510fcf21-a1f3-40af-9087-40593af86f7f,129149,6377
4e249ccf-c4de-4237-aef1-922f90a2f786,72682,2714
c4f279af-c8f3-4752-b34d-c6d8fbc0c560,421410,10242
51013eb4-dcd1-4fd2-945c-e5cf1eb85e84,767593,17403
194ebc6c-f088-4267-a449-f01e8608a144,492180,13385
b9fbe42f-b54b-4b6a-a107-138c010dbe98,73268,2070
91ae77d8-3bb5-4e59-98a7-532ac0f2825d,285051,6077
b15ebd71-a252-417d-9e1c-3e6863da68f8,13177790,172356
967a94ea-64a9-44b8-8e17-daa29141c548,54951,3714
4efa55ba-93cf-497f-baf3-2ca9da7e193e,6208286,205905
38c5cdab-5d6d-43d1-85b0-dac41bde186e,3001813,112258
cba77ba2-862d-4cee-a8f6-d3f9daf7211c,4324913,112316
94b0fb9d-a066-4823-b2ec-af1d324bcfcf,15651998,258207
