area_mbid,area_name,area_sort_name,area_type,area_type_id,iso_codes,disambiguation,begin,end,ended
52b64205-d604-49a9-a618-d8bb2a87b1de,Saint-Cyr,Saint-Cyr,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
9793c1e7-48fc-4b72-a78c-7cd6ccb1b35b,Vaubadon,Vaubadon,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
498014bf-6398-40af-8a2d-c606243ade4d,Savigny-en-Terre-Plaine,Savigny-en-Terre-Plaine,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
fb30fac6-cc0b-4f4b-beb9-a9a38683ad74,Montchauvet,Montchauvet,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
efc77962-55da-4b8f-9502-ba6cbcdad788,Sarreguemines,Sarreguemines,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
30c75bc3-f553-4dd2-a830-a954e99e1c93,Lanvellec,Lanvellec,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
c54833d0-42e2-4e56-b1a3-f84ffe64eadf,Ban-de-Laveline,Ban-de-Laveline,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
ad711214-e995-4c02-8bff-bf01e12a2a32,Marainviller,Marainviller,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
48b7e428-2b57-40df-87fe-dca683900d17,Ingwiller,Ingwiller,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
0de88e02-59de-4640-b969-9039a2aa0b63,Wissembourg,Wissembourg,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
1efa35d8-cf36-4e7b-9102-f6663ddd171d,Vézannes,Vézannes,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
3e55dc8a-1bc1-4c68-bf77-6f0db8be8350,Menchhoffen,Menchhoffen,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
19a3cebb-72d8-488b-8b5f-0e2d2c412624,Brain,Brain,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
f4862c70-311b-4746-9209-d17c08a949ec,Serbonnes,Serbonnes,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
69b6204d-716b-45a5-9081-d955b7cb6716,Neuviller-lès-Badonviller,Neuviller-lès-Badonviller,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
de2424e3-4bb5-48f9-aa24-d643f819aa31,Kutzenhausen,Kutzenhausen,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
3e164494-05d4-43ef-8e0d-a895b008a72a,Saint-Germain-le-Vasson,Saint-Germain-le-Vasson,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
8b1cd746-84cc-485e-8709-c828dc08875a,Coëtlogon,Coëtlogon,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
